State,County,FIPS Code,Geographic Coordinates,Life Expectancy,Current Adult Asthma,Stroke,COPD,CHD,High Blood Pressure ,Delay (congestion) per capita/census tract,Flooding risk to roads,Lane miles per capita,Road Quality and Maintenance,Public Transit Performance,Residential Energy Cost Burden,EV Charging Stations,Modified Retail Food Environment Index,Food Insecurity,Total vehicle miles traveled per capita,Passenger vehicle miles traveled per capita,Truck vehicle miles traveled per capita,Heavy Duty Vehicle vehicle miles traveled per capita,Proximity to Ports,Rail Crossings,Traffic Proximity and Volume,National Transportation Noise Map,Risk-Screening Environmental Indicators (RSEI) ,Air Tox Respiratory,Air Tox Neurological,Air Tox Liver,Air Tox Developmental,Air Tox Reproductive,Air Tox Kidney,Air Tox Immunological,Air Tox Thyroid,Air Tox Total Cancer Risk,Black Carbon,Agricultural pesticides,Lead Paint: % housing units built before 1960,Lead in drinking water violations,Brownfields,Stream Toxicity Risk-Screening Environmental Indicators (RSEI),NPL sites,Hazardous Waste Management Facilities (TSDFs) ,Facilities with Enforcement or Violation,Landfills,TSCA Facilities ,Risk Management Plan Facilities,Chemical Manufacturers,Metal Recyclers,Annual average PM2.5 concentrations,NO2 concentration,Ozone concentration,Parks and Greenspace,Impermeable Surfaces,Forest Land Cover,Temperature-related mortality,Deaths from climate disasters,Increased PM2.5 mortality - CVD (ages 65+),Increased Ozone mortality (all ages),Increase in childhood asthma incidence,Aedes aldopictus dengue transmission increase,Aedes aegypti dengue transmission increase,Aedes aegypti zika transmission increase,FEMA Hazard Mitigation Grants ,Flooding risk to properties,Residential Energy Expenditures (% change),Methane Emissions,Cold Wave - Annualized Frequency,Days with maximum temperature above 35 C,Days with maximum temperature above 40C,Frost Days,Maximum of maximum temperatures,Mean temperature,Urban Heat Island Extreme Heat Days,Drought - Annualized Frequency,Consecutive Dry Days,Wildfire - Annualized Frequency,Surface PM2.5,Snowfall,Standardized Precip Index
IL,DuPage,17043840000,"+41.9784876,-087.9395607",78.6,9.2,2.9,6.7,5.6,29,74,1.8,0,125.52,5.33,2,7.147073477,13,6,88.32,77.69,5.43,5.19,,46,937.3799833464,63.16642,5360,0.5,0.1,0.06,0.1,0.1,0.06,0.08,0.05,40,9.91791983,4.452574526,83.4938111296138,0,0.393837133,0.520589119737894,0.0430503566439965,10.6469779073204,10.83212327,,2.636220694,0.959571314896716,16.06453429,1.075292999,9.586,5.937,34.95,0,67.4,0.4,-1.856730802,5220,-0.00012,4.43E-06,-0.000134,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,9.722222222,-0.090057746,2.01E-06,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840101,"+41.9765040,-087.9764972",77.5,9.3,3.1,7.4,6.1,31.7,74,1.75,0,124.54,3.93,2,4.32362387,0,6,45.9,40.78,2.65,2.47,,6,337.711515973775,58.2322502,10600,0.5,0.1,0.04,0.08,0.1,0.04,0.06,0.05,30,9.91791983,4.452574526,46.0224578877442,0,,0.384342642711473,0.044856940686016,8.67269524640486,9.111411576,,2.538193738,0.949157630477768,13.77731697,0.611142373,9.2,5.3,35.51,5,57.4,1.7,-1.856730802,5220,-0.00011,4.43E-06,-0.00013,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,9.722222222,-0.090057746,1.01E-06,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840102,"+41.9597139,-087.9944205",83.6,9,2.9,6.8,5.9,32.2,74,1.78,0,,4.4,2,3.476686954,0,6,5.65,5.65,0,0,,0,84.2458357078764,55.8901596,5930,0.4,0.09,0.02,0.07,0.09,0.02,0.04,0.05,30,9.91791983,4.452574526,44.21791551476,0,,0.872643107899159,0.050666212396145,5.57839187492467,7.645145106,,0.656864681,0.552170764377258,4.713059073,0.015104113,9.017,5.006,35.86,1,46.3,2.1,-1.856730802,5220,-0.00011,4.43E-06,-0.000152,0,2,4,21662611.62,0.5,0.031368797,567670057339,0.741350906,18.51505358,7.264204148,-31.82695566,3.765808499,3.575407639,13.6666666666667,9.722222222,-0.111583436,7.41E-06,-2.562324741,-0.127105886,35.95014225
IL,DuPage,17043840103,"+41.9468911,-087.9738872",80.7,8.9,3.2,7.3,6.8,34.8,74,1.79,0,105.7,3.53,2,2.719543234,0,6,64.34,57.6,2.85,3.89,,7,711.043737321985,56.4172211,11100,0.5,0.09,0.03,0.07,0.1,0.03,0.04,0.05,30,9.91791983,4.452574526,33.0320900054732,0,,0.535833169995823,0.0469121016372635,5.39077921968965,8.300549173,,0.69370822,0.697146786797915,6.561372385,0.361972901,9.039,5.077,35.33,5,32.3,7.1,-1.856730802,5220,-0.00011,4.43E-06,-0.000124,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,9.722222222,-0.090057746,6.18E-06,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840104,"+41.9426312,-087.9918507",81.4,9.4,3.3,7.7,6.6,32.1,74,1.8,0,106.19,2.8,2,2.643668262,10,6,42.02,39.37,0.9,1.75,,0,1488.51593466969,53.6116219,13800,0.4,0.08,0.03,0.08,0.1,0.03,0.04,0.04,30,9.91791983,4.452574526,73.0492014893759,0,,4.27591352115027,0.052669675448173,5.88523381725435,8.426037977,,0.250541104,1.08727273464698,6.360055569,0.046150924,8.992,4.984,35.71,7,40.1,1.5,-1.856730802,5220,-1E-04,4.43E-06,-0.000141,0,2,4,21662611.62,0.5,0.031368797,580769809008,0.741350906,18.4690889,7.24187431,-31.82322676,3.760757874,3.572858185,13.6666666666667,9.722222222,-0.105158467,8.39E-06,-2.56647732,-0.127588003,36.07700622
IL,DuPage,17043840201,"+41.9790697,-088.0142742",81.4,8.4,2.4,5.5,5,29.9,74,1.72,0,89.5,3.57,1,5.731708223,4,6,98.86,90.66,3.2,4.99,,8,996.477226280618,56.6446991,10200,0.4,0.08,0.02,0.07,0.09,0.01,0.03,0.05,30,9.91791983,4.452574526,5.371115284982,0,,2.26856471379258,0.051156072348496,6.83861572889136,5.362040901,,1.189612917,0.924111100791728,5.090680518,0.230215913,8.958,4.708,36.13,12,48.5,1.2,-1.856730802,5220,-1E-04,4.43E-06,-9.12E-05,0,2,4,21662611.62,0.5,0.031368797,387240081796,0.741350906,19.14848245,7.571926598,-31.87834279,3.835410015,3.610541079,14,10.11111111,-0.200124488,2.63E-06,-2.505098987,-0.120461932,34.20185849
IL,DuPage,17043840202,"+41.9539459,-088.0139581",83.4,8.7,2.9,6.7,6,32.8,74,1.76,0,94.48,3.6,2,4.043311188,10,6,71.21,64.29,2.56,4.36,,0,1566.6082571909,56.1651001,9110,0.4,0.08,0.02,0.07,0.09,0.02,0.03,0.04,30,9.91791983,4.452574526,38.0447421010574,0,,0.603319146175588,0.055704068483611,6.37065577753665,6.541096257,,0.391731415,1.05171784563596,4.153910353,,8.914,4.778,36.04,4,34.9,6,-1.856730802,5220,-1E-04,4.43E-06,-0.000167,0,2,4,21662611.62,0.5,0.031368797,363726176011,0.741350906,19.23106201,7.6120441,-31.88504208,3.844483903,3.615121394,14,9.722222222,-0.211667506,6.04E-06,-2.497638517,-0.119595765,33.9739363
IL,DuPage,17043840303,"+41.9354602,-088.0058200",81.5,9.6,3,7.3,5.9,31.1,74,1.81,0,,2,2,2.293492662,,6,18.86,18.86,0,0,,0,262.67697127245,49.3546295,6670,0.4,0.08,0.03,0.07,0.1,0.02,0.04,0.03,30,9.91791983,4.452574526,67.1455860912795,0,,1.55240572786731,0.055954575874407,6.90932508697857,8.800117175,,,1.40437378087964,7.490310052,,8.817,4.888,35.19,0,51.1,0,-1.856730802,5220,-1E-04,4.43E-06,-0.000142,0,2,4,21662611.62,0.5,0.031368797,409719413691,0.741350906,19.06956009,7.533585779,-31.87194018,3.826737983,3.606163612,13.6666666666667,9.722222222,-0.189092675,0,-2.512229056,-0.121289738,34.4196867
IL,DuPage,17043840304,"+41.9383703,-088.0231455",81,8.8,3.1,7,6.5,34.2,74,1.81,0,117.83,2,2,2.491107909,,6,24.4,23.78,0.43,0.2,,0,431.985068682796,49.3204918,7230,0.4,0.07,0.02,0.06,0.08,0.02,0.03,0.03,30,9.91791983,4.452574526,35.4694698900781,0,,0.000119803823979,0.060730048555064,7.79646907864119,7.912138133,,0.116675456,1.40076363545887,6.011644669,,8.867,4.816,34.67,4,48.1,0,-1.856730802,5220,-0.00011,4.43E-06,-5.74E-05,0,2,4,21662611.62,0.5,0.031368797,362307393024,0.741350906,19.23604774,7.61446619,-31.88544655,3.845031738,3.61539793,14,9.722222222,-0.212364414,2.45E-07,-2.497188091,-0.11954347,33.96017551
IL,DuPage,17043840600,"+41.9091561,-087.9496937",82.7,8.7,2.7,5.8,5.5,30.6,74,2.17,0,169.45,3.3,1,5.483874127,5,6,57.47,50.46,2.79,4.22,,0,1851.62122800078,52.4885216,9180,0.5,0.09,0.02,0.07,0.1,0.02,0.03,0.05,30,9.91791983,4.452574526,1.70143742534717,0,1.202633846,1.57480591453523,0.047175223590241,7.1451914802898,5.229679363,0.044038188,0.428964484,2.82209099787599,4.913791222,0.059347855,9.102,5.223,35.45,2,42.7,1,-1.856730802,5220,-0.00011,4.43E-06,-0.000119,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,4.277777777,-0.090057746,1.95E-06,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840703,"+41.9372257,-087.9300599",79.5,9.1,2.8,6.2,5.4,30.4,74,1.82,0,,5.53,2,4.046339578,,6,10.33,10.33,0,0,,0,137.660085202037,55.9236794,5760,0.5,0.1,0.03,0.08,0.1,0.03,0.04,0.06,40,9.91791983,4.452574526,62.4917093531145,0,2.248667221,17.7817030798112,0.0423918152887305,7.16748841132766,8.030773016,,1.724060213,2.00279599568953,6.522764794,0.894292416,9.317,5.961,34.58,1,41.5,0,-1.856730802,5220,-0.00012,4.43E-06,-0.000104,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,8.555555555,-0.090057746,3.46E-07,-2.576237202,-0.128721133,36.37517691
IL,DuPage,17043840704,"+41.9411814,-087.9472043",84.4,9.2,3.1,7.4,6.3,30.9,74,1.82,0,86.63,3.8,2,3.845688544,,6,30.67,27.75,1.34,1.58,,0,514.702555424138,53.21735,5580,0.5,0.09,0.02,0.07,0.1,0.02,0.04,0.05,30,9.91791983,4.452574526,42.3872295345138,0,0.380420843,2.24144602986835,0.0452226281667975,5.68806599103442,7.61823341,,1.127193127,1.55971250230067,6.261262784,0.692409246,9.167,5.289,35.04,2,29.7,6.1,-1.856730802,5220,-0.00011,4.43E-06,-0.00016,0,2,4,21662611.62,0.5,0.031368797,611560364608,0.741350906,18.36105728,7.18939209,-31.81446266,3.7488873,3.566866159,13.6666666666667,8.555555555,-0.090057746,1.11E-05,-2.576237202,-0.128721133,36.37517691
